"stop_id,C,254","stop_name,C,254","stop_lat,N,24,15","stop_lon,N,24,15","location_t,N,10,0","parent_sta,C,254","trip_count,N,2,0","trip_ids,C,251","route_ids,C,254","route_nams,C,109",subcounty,distance_from_cbd_km
0710SGT,James Gichuru/ Gitanga Road Junction,-1.289645165,36.76168352,0,,1,7046P111,70805046P10,046P,Dagoretti,6.152878822824363
0800JGG,James Gichuru/Gitanga Road Junction,-1.289462,36.761562,0,,1,80048210,80200004811,48K,Dagoretti,6.164013797690254
0600AMB,Amboseli Road,-1.289579272,36.76001787,0,,3,60046110 60056110 80048210,60200004611 60201005611 80200004811,46K 56 48K,Dagoretti,6.336061683276181
0710LIB,Amboseli,-1.289569259,36.75985694,0,,1,7046P111,70805046P10,046P,Dagoretti,6.353722502125861
0601AMB,Amboseli Road,-1.289659739,36.75985694,0,,3,60046111 60056111 80048211,60200004611 60201005611 80200004811,46K 56 48K,Dagoretti,6.354828828888725
0600CHO,Sohail City,-1.289509535,36.75711304,0,,1,60056110,60201005611,56,Dagoretti,6.656324059408927
0601AYO,Sohail City,-1.289563179,36.75699234,0,,2,60046111 60056111,60200004611 60201005611,46K 56,Dagoretti,6.670287461939047
0710TAY,Sohali City,-1.289662778,36.7566973,0,,1,7046P111,70805046P10,046P,Dagoretti,6.704063561015555
0601BRB,Braeburn School,-1.289476,36.755692,0,,3,60046111 60056111 80048211,60200004611 60201005611 80200004811,46K 56 48K,Dagoretti,6.81309721522654
0600BRB,Braeburn School,-1.289429069,36.75567806,0,,3,60046110 60056110 80048210,60200004611 60201005611 80200004811,46K 56 48K,Dagoretti,6.81411777350425
0710KJS,Kaberia Junction/Wanyee Stage,-1.29703,36.756553,0,,5,70002110 70003110 7004W110 70102110 70103110,70601000211 70000000311 70500004W11 70600010211 70000010311,2 3U/3 4W 102 103,Dagoretti,6.854435769620959
0710EAY,Wanyee,-1.296656495,36.7563647,0,,1,70103110,70000010311,103,Dagoretti,6.865763573591336
0700RIR,Riara,-1.295857,36.755917,0,,4,70002110 70003110 70102110 70103110,70601000211 70000000311 70600010211 70000010311,2 3U/3 102 103,Dagoretti,6.89586365616381
0601IRN,Rusinga School,-1.289445162,36.75483316,0,,2,60046111 60056111,60200004611 60201005611,46K 56,Dagoretti,6.907758565931733
0600RUS,Rusinga School,-1.289355,36.754621,0,,3,60046110 60056110 80048210,60200004611 60201005611 80200004811,46K 56 48K,Dagoretti,6.930253344870887
0811SNU,Rusinga School,-1.289425224,36.7545113,0,,1,80048211,80200004811,48K,Dagoretti,6.9431491289537375
0700ZLL,Melchizedek Hospital,-1.294852495,36.75515771,0,,2,70002110 70003110,70601000211 70000000311,2 3U/3,Dagoretti,6.957119818135589
0701PAC,Melchizedek Hospital,-1.294702291,36.75471514,0,,1,70002111,70601000211,2,Dagoretti,7.0024480608648485
0700LEM,Melchizedek,-1.294516093,36.75464272,0,,1,70103110,70000010311,103,Dagoretti,7.0066617245476035
0711VWO,Victory World Outreach,-1.297388,36.754936,0,,1,7004W111,70500004W11,4W,Dagoretti,7.038543522885208
0610KSS,Kismart Supermarket,-1.286478,36.753424,0,,1,60056110,60201005611,56,Dagoretti,7.039574255225787
0710VIC,Victory World Outreach,-1.297367,36.75491,0,,1,7004W110,70500004W11,4W,Dagoretti,7.040843711869537
0600SFK,St.Francis/Kanisani,-1.287132,36.75343,0,,1,60056110,60201005611,56,Dagoretti,7.042898109752523
0601SFK,St.Francis/Kanisani,-1.2871,36.753376,0,,1,60056111,60201005611,56,Dagoretti,7.048677840161421
0601WAR,Warrior/California,-1.284821,36.753194,0,,1,60056111,60201005611,56,Dagoretti,7.058384056025359
0601HDH,Huduma Church/Hotel 56,-1.287819,36.753322,0,,1,60056111,60201005611,56,Dagoretti,7.059871119458316
0601KON,Congo,-1.289283,36.753228,0,,2,60046111 80048211,60200004611 80200004811,46K 48K,Dagoretti,7.083646864576758
0600COP,Congo,-1.289252043,36.75314069,0,,2,60046110 80048210,60200004611 80200004811,46K 48K,Dagoretti,7.092990075445009
0600CNG,Congo,-1.289149,36.753075,0,,1,60056110,60201005611,56,Dagoretti,7.099207793815754
0601CNG,Congo,-1.289143,36.753033,0,,1,60056111,60201005611,56,Dagoretti,7.1037966547376366
0710NAA,Kanisani,-1.293496853,36.75358057,0,,1,70103110,70000010311,103,Dagoretti,7.103979845819674
0600ZEB,Zebra Bar,-1.282279,36.752452,0,,1,60056110,60201005611,56,Dagoretti,7.139882640597469
0601TWZ,Twinkling Stars School/Zebra Bar,-1.282386,36.752367,0,,1,60056111,60201005611,56,Dagoretti,7.1491458374755155
0700REL,Relic House,-1.297839,36.753706,0,,1,7004W110,70500004W11,4W,Dagoretti,7.1830246336559345
0701SMH,Suma House,-1.297948,36.753576,0,,1,7004W111,70500004W11,4W,Dagoretti,7.199834261177317
